"BehaviorSpace results (NetLogo 6.0.2)"
"Dissertation_ABM_update2020_cleaner.nlogo"
"AspirationOn"
"01/17/2020 16:30:59:252 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","meanRiskThreshold","scanningRange","badImpact","numWindows","impactReductionRate","maxCopingReduction","adaptationCost","capBoost","simTicks","minNeighbor","officeRole","changeAspiration","b1","EWProbDecay","[step]","count orgs with [adaptation-change?]","totalInsufBoost","totalDisasterWindows","totalwindowMissed","totalWindowOpen","totalNoSolution","totalUtilizedWindows","totalNeededWidows","sufficientCap","totalUtilizedDisasterWindows"
"135","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0","0.02","1001","13","0","0","0","0","0","0","0","13","0"
"136","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0","0.03","1001","6","0","0","0","0","0","0","0","6","0"
"139","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0","0.03","1001","2","0","0","0","0","0","0","0","2","0"
"134","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0","0.02","1001","0","0","0","0","0","0","0","0","0","0"
"140","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0","0.03","1001","4","0","0","0","0","0","0","0","4","0"
"141","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0.5","0","1001","23","0","0","0","0","0","0","0","23","0"
"142","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0.5","0","1001","20","0","0","0","0","0","0","0","20","0"
"144","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0.5","0","1001","13","0","0","0","0","0","0","0","13","0"
"143","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0.5","0","1001","12","0","0","0","0","0","0","0","12","0"
"145","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0.5","0","1001","17","0","0","0","0","0","0","0","17","0"
"146","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0.5","0.01","1001","17","0","0","0","0","0","0","0","17","0"
"148","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0.5","0.01","1001","15","0","0","0","0","0","0","0","15","0"
"147","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0.5","0.01","1001","5","0","0","0","0","0","0","0","5","0"
"150","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0.5","0.01","1001","14","0","0","0","0","0","0","0","14","0"
"152","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0.5","0.02","1001","5","0","0","0","0","0","0","0","5","0"
"154","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0.5","0.02","1001","3","0","0","0","0","0","0","0","3","0"
"151","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0.5","0.02","1001","2","0","0","0","0","0","0","0","2","0"
"149","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0.5","0.01","1001","1","0","0","0","0","0","0","0","1","0"
"153","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0.5","0.02","1001","11","0","0","0","0","0","0","0","11","0"
"155","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0.5","0.02","1001","10","0","0","0","0","0","0","0","10","0"
"159","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0.5","0.03","1001","3","0","0","0","0","0","0","0","3","0"
"156","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0.5","0.03","1001","6","0","0","0","0","0","0","0","6","0"
"157","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0.5","0.03","1001","7","0","0","0","0","0","0","0","7","0"
"158","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0.5","0.03","1001","14","0","0","0","0","0","0","0","14","0"
"160","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","0.5","0.03","1001","6","0","0","0","0","0","0","0","6","0"
"162","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","1","0","1001","0","0","0","0","0","0","0","0","0","0"
"164","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","1","0","1001","6","0","0","0","0","0","0","0","6","0"
"161","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","1","0","1001","23","0","0","0","0","0","0","0","23","0"
"163","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","1","0","1001","15","0","0","0","0","0","0","0","15","0"
"166","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","1","0.01","1001","14","0","0","0","0","0","0","0","14","0"
"165","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","1","0","1001","14","0","0","0","0","0","0","0","14","0"
"168","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","1","0.01","1001","8","0","0","0","0","0","0","0","8","0"
"167","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","1","0.01","1001","14","0","0","0","0","0","0","0","14","0"
"169","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","1","0.01","1001","22","0","0","0","0","0","0","0","22","0"
"171","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","1","0.02","1001","14","0","0","0","0","0","0","0","14","0"
"170","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","1","0.01","1001","0","0","0","0","0","0","0","0","0","0"
"172","0.5","4","0.08","0","0.25","0.4","6.5","4","1000","1","1","1","1","0.02","1001","6","0","0","0","0","0","0","0","6","0"
